"SourceFile"	"FileName"	"Make"	"Model"	"DateTimeOriginal"	"TriggerMode"	"Sequence"	"EventNumber"	"MoonPhase"	"AmbientTemperature"	"SerialNumber"	"Contrast"	"Brightness"	"Sharpness"	"Saturation"	"NewFileName"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0060.JPG"	"IMG_0060.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:27 15:25:00"	"M"	"2 2"	10	7	10	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-27_0009.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0061.JPG"	"IMG_0061.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:27 20:00:00"	"T"	"0 0"	41	7	5	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-27_0010.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0062.JPG"	"IMG_0062.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:28 01:23:36"	"M"	"1 2"	11	7	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-28_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0063.JPG"	"IMG_0063.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:28 01:23:36"	"M"	"2 2"	11	7	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-28_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0064.JPG"	"IMG_0064.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:28 08:00:00"	"T"	"0 0"	42	7	5	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-28_0003.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0065.JPG"	"IMG_0065.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:28 20:00:00"	"T"	"0 0"	43	7	3	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-28_0004.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0066.JPG"	"IMG_0066.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:29 08:00:00"	"T"	"0 0"	44	7	3	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-29_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0067.JPG"	"IMG_0067.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:29 12:25:35"	"M"	"1 2"	12	7	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-29_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0068.JPG"	"IMG_0068.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:29 12:25:35"	"M"	"2 2"	12	7	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-29_0003.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0069.JPG"	"IMG_0069.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:29 20:00:00"	"T"	"0 0"	45	7	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-29_0004.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0070.JPG"	"IMG_0070.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:30 08:00:00"	"T"	"0 0"	46	0	3	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-30_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0071.JPG"	"IMG_0071.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:30 20:00:00"	"T"	"0 0"	47	0	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-30_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0072.JPG"	"IMG_0072.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:31 08:00:00"	"T"	"0 0"	48	0	8	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-31_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0073.JPG"	"IMG_0073.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:31 20:00:00"	"T"	"0 0"	49	0	9	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-31_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0074.JPG"	"IMG_0074.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:01 08:00:00"	"T"	"0 0"	50	0	6	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-01_0001.JPG"
