"locality" "site" "date" "time" "image_name" "class_id" "presence_automatic" "presence_manual" "confidence_automatic" "observer_manual" "type_manual_classification" "comment"
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "08:00:00" "vj_ga_hu_1_2019-07-11_0003.JPG" "cricetidae" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "08:00:00" "vj_ga_hu_1_2019-07-11_0003.JPG" "empty" 1 1 0.999245882034302 "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "08:00:00" "vj_ga_hu_1_2019-07-11_0003.JPG" "lem_lem" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "08:00:00" "vj_ga_hu_1_2019-07-11_0003.JPG" "mus_erm" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "20:00:00" "vj_ga_hu_1_2019-07-11_0004.JPG" "cricetidae" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "20:00:00" "vj_ga_hu_1_2019-07-11_0004.JPG" "empty" 1 1 0.999248087406158 "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "20:00:00" "vj_ga_hu_1_2019-07-11_0004.JPG" "lem_lem" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "20:00:00" "vj_ga_hu_1_2019-07-11_0004.JPG" "mus_erm" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-12" "08:00:00" "vj_ga_hu_1_2019-07-12_0001.JPG" "cricetidae" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-12" "08:00:00" "vj_ga_hu_1_2019-07-12_0001.JPG" "empty" 1 1 0.999168753623962 "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-12" "08:00:00" "vj_ga_hu_1_2019-07-12_0001.JPG" "lem_lem" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-12" "08:00:00" "vj_ga_hu_1_2019-07-12_0001.JPG" "mus_erm" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-12" "20:00:00" "vj_ga_hu_1_2019-07-12_0002.JPG" "cricetidae" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-12" "20:00:00" "vj_ga_hu_1_2019-07-12_0002.JPG" "empty" 1 1 0.999355733394623 "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-12" "20:00:00" "vj_ga_hu_1_2019-07-12_0002.JPG" "lem_lem" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-12" "20:00:00" "vj_ga_hu_1_2019-07-12_0002.JPG" "mus_erm" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-13" "08:00:00" "vj_ga_hu_1_2019-07-13_0001.JPG" "cricetidae" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-13" "08:00:00" "vj_ga_hu_1_2019-07-13_0001.JPG" "empty" 1 1 0.999444305896759 "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-13" "08:00:00" "vj_ga_hu_1_2019-07-13_0001.JPG" "lem_lem" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-13" "08:00:00" "vj_ga_hu_1_2019-07-13_0001.JPG" "mus_erm" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-13" "20:00:00" "vj_ga_hu_1_2019-07-13_0002.JPG" "cricetidae" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-13" "20:00:00" "vj_ga_hu_1_2019-07-13_0002.JPG" "empty" 1 1 0.999689221382141 "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-13" "20:00:00" "vj_ga_hu_1_2019-07-13_0002.JPG" "lem_lem" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-13" "20:00:00" "vj_ga_hu_1_2019-07-13_0002.JPG" "mus_erm" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-14" "08:00:00" "vj_ga_hu_1_2019-07-14_0001.JPG" "cricetidae" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-14" "08:00:00" "vj_ga_hu_1_2019-07-14_0001.JPG" "empty" 1 1 0.999153971672058 "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-14" "08:00:00" "vj_ga_hu_1_2019-07-14_0001.JPG" "lem_lem" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-14" "08:00:00" "vj_ga_hu_1_2019-07-14_0001.JPG" "mus_erm" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-14" "20:00:00" "vj_ga_hu_1_2019-07-14_0002.JPG" "cricetidae" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-14" "20:00:00" "vj_ga_hu_1_2019-07-14_0002.JPG" "empty" 1 1 0.999230861663818 "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-14" "20:00:00" "vj_ga_hu_1_2019-07-14_0002.JPG" "lem_lem" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-14" "20:00:00" "vj_ga_hu_1_2019-07-14_0002.JPG" "mus_erm" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-15" "08:00:00" "vj_ga_hu_1_2019-07-15_0001.JPG" "cricetidae" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-15" "08:00:00" "vj_ga_hu_1_2019-07-15_0001.JPG" "empty" 1 1 0.999549567699432 "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-15" "08:00:00" "vj_ga_hu_1_2019-07-15_0001.JPG" "lem_lem" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-15" "08:00:00" "vj_ga_hu_1_2019-07-15_0001.JPG" "mus_erm" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-15" "20:00:00" "vj_ga_hu_1_2019-07-15_0002.JPG" "cricetidae" 0 0 NA NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-15" "20:00:00" "vj_ga_hu_1_2019-07-15_0002.JPG" "empty" 1 0 0.99893456697464 NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-15" "20:00:00" "vj_ga_hu_1_2019-07-15_0002.JPG" "lem_lem" 0 0 NA NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-15" "20:00:00" "vj_ga_hu_1_2019-07-15_0002.JPG" "mus_erm" 0 0 NA NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-16" "08:00:00" "vj_ga_hu_1_2019-07-16_0001.JPG" "cricetidae" 0 0 NA NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-16" "08:00:00" "vj_ga_hu_1_2019-07-16_0001.JPG" "empty" 1 0 0.999241709709167 NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-16" "08:00:00" "vj_ga_hu_1_2019-07-16_0001.JPG" "lem_lem" 0 0 NA NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-16" "08:00:00" "vj_ga_hu_1_2019-07-16_0001.JPG" "mus_erm" 0 0 NA NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-16" "20:00:00" "vj_ga_hu_1_2019-07-16_0002.JPG" "cricetidae" 0 0 NA NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-16" "20:00:00" "vj_ga_hu_1_2019-07-16_0002.JPG" "empty" 1 0 0.99972015619278 NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-16" "20:00:00" "vj_ga_hu_1_2019-07-16_0002.JPG" "lem_lem" 0 0 NA NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-16" "20:00:00" "vj_ga_hu_1_2019-07-16_0002.JPG" "mus_erm" 0 0 NA NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-17" "08:00:00" "vj_ga_hu_1_2019-07-17_0001.JPG" "cricetidae" 0 0 NA NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-17" "08:00:00" "vj_ga_hu_1_2019-07-17_0001.JPG" "empty" 1 0 0.999680519104004 NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-17" "08:00:00" "vj_ga_hu_1_2019-07-17_0001.JPG" "lem_lem" 0 0 NA NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-17" "08:00:00" "vj_ga_hu_1_2019-07-17_0001.JPG" "mus_erm" 0 0 NA NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-17" "20:00:00" "vj_ga_hu_1_2019-07-17_0002.JPG" "cricetidae" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-17" "20:00:00" "vj_ga_hu_1_2019-07-17_0002.JPG" "empty" 1 1 0.999331593513489 "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-17" "20:00:00" "vj_ga_hu_1_2019-07-17_0002.JPG" "lem_lem" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-17" "20:00:00" "vj_ga_hu_1_2019-07-17_0002.JPG" "mus_erm" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-18" "08:00:00" "vj_ga_hu_1_2019-07-18_0001.JPG" "cricetidae" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-18" "08:00:00" "vj_ga_hu_1_2019-07-18_0001.JPG" "empty" 1 1 0.999091863632202 "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-18" "08:00:00" "vj_ga_hu_1_2019-07-18_0001.JPG" "lem_lem" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-18" "08:00:00" "vj_ga_hu_1_2019-07-18_0001.JPG" "mus_erm" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-18" "20:00:00" "vj_ga_hu_1_2019-07-18_0002.JPG" "cricetidae" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-18" "20:00:00" "vj_ga_hu_1_2019-07-18_0002.JPG" "empty" 1 1 0.999293804168701 "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-18" "20:00:00" "vj_ga_hu_1_2019-07-18_0002.JPG" "lem_lem" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-18" "20:00:00" "vj_ga_hu_1_2019-07-18_0002.JPG" "mus_erm" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-19" "08:00:00" "vj_ga_hu_1_2019-07-19_0001.JPG" "cricetidae" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-19" "08:00:00" "vj_ga_hu_1_2019-07-19_0001.JPG" "empty" 1 1 0.998667597770691 "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-19" "08:00:00" "vj_ga_hu_1_2019-07-19_0001.JPG" "lem_lem" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-19" "08:00:00" "vj_ga_hu_1_2019-07-19_0001.JPG" "mus_erm" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-19" "20:00:00" "vj_ga_hu_1_2019-07-19_0002.JPG" "cricetidae" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-19" "20:00:00" "vj_ga_hu_1_2019-07-19_0002.JPG" "empty" 1 1 0.999307990074158 "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-19" "20:00:00" "vj_ga_hu_1_2019-07-19_0002.JPG" "lem_lem" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-19" "20:00:00" "vj_ga_hu_1_2019-07-19_0002.JPG" "mus_erm" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-20" "08:00:00" "vj_ga_hu_1_2019-07-20_0001.JPG" "cricetidae" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-20" "08:00:00" "vj_ga_hu_1_2019-07-20_0001.JPG" "empty" 1 1 0.999784052371979 "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-20" "08:00:00" "vj_ga_hu_1_2019-07-20_0001.JPG" "lem_lem" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-20" "08:00:00" "vj_ga_hu_1_2019-07-20_0001.JPG" "mus_erm" 0 0 NA "hb" "corrected_image_label" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-20" "20:00:00" "vj_ga_hu_1_2019-07-20_0002.JPG" "cricetidae" 0 0 NA NA NA NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-20" "20:00:00" "vj_ga_hu_1_2019-07-20_0002.JPG" "empty" 1 0 0.999165296554565 NA NA NA
